,total_population,median_household_income,population_below_poverty,renter_occupied_units,total_occupied_units,white_population,black_population,hispanic_population,county_fips,tract_code,prop_poverty,prop_renter,prop_nonwhite
0,2980,81750,193,759,1522,1344,1074,84,005,400701,0.06476510067114094,0.49868593955321944,0.548993288590604
1,2095,105417,338,86,654,1011,540,200,005,400702,0.1613365155131265,0.13149847094801223,0.5174224343675418
2,3060,84137,276,275,1051,1151,1059,70,005,400800,0.09019607843137255,0.26165556612749763,0.6238562091503268
3,2076,76992,102,229,713,919,510,478,005,400900,0.049132947976878616,0.3211781206171108,0.5573217726396917
4,2358,105139,71,239,781,1763,231,112,005,401000,0.030110262934690414,0.3060179257362356,0.25233248515691264
5,6164,79375,562,621,2315,1560,3464,353,005,401101,0.09117456197274497,0.2682505399568035,0.7469175859831279
6,809,48931,29,254,455,150,559,0,005,401102,0.03584672435105068,0.5582417582417583,0.8145859085290482
7,3746,73092,397,267,1252,814,2393,240,005,401200,0.10597971169247197,0.213258785942492,0.782701548318206
8,3825,63056,529,301,1396,443,2966,120,005,401301,0.13830065359477126,0.21561604584527222,0.8841830065359477
9,3141,59255,531,758,1468,768,2312,13,005,401302,0.16905444126074498,0.5163487738419619,0.7554918815663801
10,2268,80577,148,261,994,868,1029,153,005,403300,0.06525573192239859,0.2625754527162978,0.617283950617284
11,5766,103500,583,625,1922,4917,321,14,005,403500,0.10110995490808186,0.3251821019771072,0.1472424557752341
12,4790,103221,430,466,1775,4243,282,20,005,403601,0.08977035490605428,0.26253521126760565,0.11419624217118995
13,7197,118036,1331,371,2264,2272,1650,861,005,401504,0.18493816868139504,0.16386925795053003,0.6843129081561762
14,4511,83796,554,357,1484,1285,919,349,005,401505,0.12281090667257814,0.24056603773584906,0.7151407670139658
15,6004,83851,685,715,1996,243,5224,121,005,402302,0.11409060626249168,0.35821643286573146,0.959526982011992
16,7163,90189,521,882,2589,702,5920,0,005,402303,0.07273488761692029,0.3406720741599073,0.9019963702359347
17,6265,84643,435,1265,2450,3955,1671,137,005,403602,0.06943335993615324,0.5163265306122449,0.36871508379888274
18,8390,68008,765,2291,2811,1512,4245,1848,005,404202,0.09117997616209773,0.8150124510850231,0.8197854588796186
19,6671,80811,487,602,2517,3617,1954,112,005,404501,0.07300254834357668,0.2391736193881605,0.45780242842152596
20,3756,59696,748,455,1578,1700,950,583,005,404502,0.19914802981895632,0.28833967046894804,0.5473908413205537
